날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,4108,,92,,2.2399999999999998%,$22.57,,$0.2453261,$0.0,11,15.326999999999998%,6.52,$147.26
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,670,,3,,0.44799999999999995%,$2.08,,$0.6933333,$0.0,1,10.452%,9.57,$19.9
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,41869,,516,,1.232%,$149.19,,$0.2891279,$0.0,59,16.973%,5.89,$878.99
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,7316,,166,,2.2689999999999997%,$74.94,,$0.45144579999999995,$0.0,29,14.523%,6.89,$516.0
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,6228,,121,,1.9429999999999998%,$49.32,,$0.40760330000000006,$0.0,21,14.268%,7.01,$345.66
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,5354,,80,,1.494%,$7.71,,$0.09637499999999999,$0.0,12,4.216%,23.72,$182.86
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,3302,,31,,0.9390000000000001%,$22.08,,$0.7122581,$0.0,4,41.117%,2.43,$53.7
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,16174,,119,,0.736%,$98.32,,$0.8262185,$0.0,9,80.379%,1.24,$122.32
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,15277,,240,,1.5709999999999997%,$59.59,,$0.2482917,$0.0,36,12.304%,8.13,$484.33
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,113,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,4961,,105,,2.117%,$33.88,,$0.3226667,$0.0,20,11.774999999999999%,8.49,$287.72
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,4117,,106,,2.5749999999999997%,$10.92,,$0.1030189,$0.0,15,4.714%,21.21,$231.65
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,6,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,19426,,311,,1.601%,$73.18,,$0.23530550000000003,$0.0,49,10.834000000000001%,9.23,$675.48
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,215,,6,,2.791%,$1.2,,$0.2,$0.0,0,0.0%,0.0,$0.0
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,4434,,82,,1.849%,$26.63,,$0.32475610000000005,$0.0,12,17.376%,5.76,$153.26
